"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 09","87,300","88,400","88,600","86,700","2.22M","-1.58%"
"2023- 05- 08","88,700","89,700","90,000","87,700","2.56M","0.00%"
"2023- 05- 07","88,700","88,700","88,700","88,700","","0.00%"
"2023- 05- 04","88,700","88,900","89,600","87,500","1.78M","-1.22%"
"2023- 05- 03","89,800","89,000","90,300","88,600","1.77M","-0.44%"
"2023- 05- 02","90,200","90,900","90,900","88,900","2.39M","0.78%"
"2023- 05- 01","89,500","89,500","89,500","89,500","","0.00%"
"2023- 04- 28","89,500","90,800","91,400","88,700","3.71M","0.79%"
"2023- 04- 27","88,800","87,900","89,200","86,000","2.93M","1.60%"
"2023- 04- 26","87,400","86,400","88,700","86,200","3.23M","2.22%"
"2023- 04- 25","85,500","87,500","87,800","83,700","3.38M","-1.95%"
"2023- 04- 24","87,200","88,100","88,800","87,000","2.05M","-2.13%"
"2023- 04- 23","89,100","89,100","89,100","89,100","","0.00%"
"2023- 04- 21","89,100","87,700","89,800","87,200","2.58M","1.60%"
"2023- 04- 20","87,700","86,600","88,400","86,200","1.71M","-0.57%"
"2023- 04- 19","88,200","88,000","88,500","86,600","2.02M","0.68%"
"2023- 04- 18","87,600","89,300","89,300","87,300","1.76M","-1.02%"
"2023- 04- 17","88,500","89,000","89,000","87,700","1.87M","-0.90%"
"2023- 04- 16","89,300","89,300","89,300","89,300","","0.00%"
"2023- 04- 14","89,300","90,100","90,300","88,600","2.32M","0.68%"
"2023- 04- 13","88,700","89,500","90,300","88,200","4.79M","-1.77%"
"2023- 04- 12","90,300","91,900","92,000","89,700","4.09M","-1.63%"
"2023- 04- 11","91,800","90,700","92,200","89,900","4.93M","1.21%"
"2023- 04- 10","90,700","88,700","92,500","88,500","5.38M","1.80%"
"2023- 04- 09","89,100","89,100","89,100","89,100","","0.00%"
"2023- 04- 07","89,100","87,900","89,400","86,000","10.86M","6.32%"
"2023- 04- 06","83,800","83,900","84,700","82,700","4.88M","-0.95%"
"2023- 04- 05","84,600","84,300","85,700","84,100","3.13M","0.12%"
"2023- 04- 04","84,500","85,700","85,900","83,700","8.83M","-3.10%"
"2023- 04- 03","87,200","89,700","89,700","86,600","2.31M","-1.58%"
"2023- 04- 02","88,600","88,600","88,600","88,600","","0.00%"
"2023- 03- 31","88,600","89,200","89,500","87,600","2.67M","-0.23%"
"2023- 03- 30","88,800","89,900","90,500","87,700","4.26M","2.19%"
"2023- 03- 29","86,900","87,400","88,700","86,500","3.04M","-1.70%"
"2023- 03- 28","88,400","85,300","88,700","85,200","2.97M","3.39%"
"2023- 03- 27","85,500","87,500","87,800","84,700","3.05M","-2.06%"
"2023- 03- 26","87,300","87,300","87,300","87,300","","0.00%"
"2023- 03- 24","87,300","89,100","90,700","86,700","4.03M","-1.36%"
"2023- 03- 23","88,500","85,400","88,500","85,100","3.07M","1.84%"
"2023- 03- 22","86,900","85,200","87,300","83,800","2.61M","3.95%"
"2023- 03- 21","83,600","84,100","85,100","82,900","1.88M","-0.12%"
"2023- 03- 20","83,700","83,800","85,100","83,000","2.21M","-0.36%"
"2023- 03- 19","84,000","84,000","84,000","84,000","","0.00%"
"2023- 03- 17","84,000","81,200","84,800","81,100","6.17M","6.33%"
"2023- 03- 16","79,000","76,700","80,200","76,700","4.73M","-0.13%"
"2023- 03- 15","79,100","81,900","82,300","78,800","5.03M","-2.47%"
"2023- 03- 14","81,100","82,600","83,000","81,100","3.26M","-3.80%"
"2023- 03- 13","84,300","83,200","84,700","82,400","2.43M","1.20%"
"2023- 03- 12","83,300","83,300","83,300","83,300","","0.00%"
"2023- 03- 10","83,300","83,800","84,400","83,100","3.55M","-2.69%"
"2023- 03- 09","85,600","87,300","87,800","85,300","3.29M","-1.38%"
"2023- 03- 08","86,800","87,700","87,800","86,400","2.76M","-2.36%"
"2023- 03- 07","88,900","89,700","90,000","88,800","1.56M","-0.89%"
"2023- 03- 06","89,700","87,900","89,800","87,500","2.37M","2.75%"
"2023- 03- 05","87,300","87,300","87,300","87,300","","0.00%"
"2023- 03- 03","87,300","88,500","89,200","87,200","2.23M","-0.91%"
"2023- 03- 02","88,100","89,400","90,300","87,500","2.73M","-1.45%"
"2023- 03- 01","89,400","89,400","89,400","89,400","","0.00%"
"2023- 02- 28","89,400","91,000","91,000","88,700","2.01M","-0.67%"
"2023- 02- 27","90,000","90,100","90,300","89,100","1.88M","-1.10%"
"2023- 02- 26","91,000","91,000","91,000","91,000","","0.00%"
"2023- 02- 24","91,000","93,500","94,000","91,000","2.34M","-1.83%"
"2023- 02- 23","92,700","90,000","93,700","89,600","3.65M","4.04%"
"2023- 02- 22","89,100","89,900","90,300","88,500","2.30M","-2.30%"
"2023- 02- 21","91,200","92,500","92,600","90,900","1.45M","-1.41%"
"2023- 02- 20","92,500","92,700","93,300","90,700","1.67M","0.54%"
"2023- 02- 19","92,000","92,000","92,000","92,000","","0.00%"
"2023- 02- 17","92,000","91,400","92,700","90,900","1.59M","-0.97%"
"2023- 02- 16","92,900","91,900","93,400","91,600","1.81M","1.31%"
"2023- 02- 15","91,700","93,800","94,200","91,200","1.79M","-1.82%"
"2023- 02- 14","93,400","91,800","93,500","91,600","2.16M","3.09%"
"2023- 02- 13","90,600","92,000","92,000","89,900","3.10M","-3.10%"
"2023- 02- 12","93,500","93,500","93,500","93,500","","0.00%"
"2023- 02- 10","93,500","94,300","94,700","93,100","1.97M","-0.95%"
"2023- 02- 09","94,400","94,800","94,800","92,600","2.64M","-0.53%"
"2023- 02- 08","94,900","91,700","95,000","91,600","3.77M","4.52%"
"2023- 02- 07","90,800","88,800","91,200","88,800","2.16M","1.91%"
"2023- 02- 06","89,100","91,400","92,000","89,100","2.79M","-3.36%"
"2023- 02- 05","92,200","92,200","92,200","92,200","","0.00%"
"2023- 02- 03","92,200","92,400","93,200","91,300","2.36M","-1.28%"
"2023- 02- 02","93,400","94,900","94,900","92,700","4.34M","2.19%"
"2023- 02- 01","91,400","91,200","91,400","88,500","3.77M","3.28%"
"2023- 01- 31","88,500","90,800","90,800","86,800","5.09M","-2.43%"
"2023- 01- 30","90,700","91,300","91,600","90,000","2.44M","-0.87%"
"2023- 01- 29","91,500","91,500","91,500","91,500","","0.00%"
"2023- 01- 27","91,500","91,300","92,800","90,300","2.33M","-0.87%"
"2023- 01- 26","92,300","90,800","92,300","90,100","2.32M","0.98%"
"2023- 01- 25","91,400","92,000","92,000","90,600","3.61M","4.34%"
"2023- 01- 20","87,600","86,300","87,800","86,100","2.35M","2.46%"
"2023- 01- 19","85,500","84,000","85,800","84,000","1.67M","0.47%"
"2023- 01- 18","85,100","86,400","86,500","84,500","1.49M","-1.05%"
"2023- 01- 17","86,000","86,400","87,200","85,700","1.57M","0.23%"
"2023- 01- 16","85,800","86,000","86,500","84,900","1.51M","0.12%"
"2023- 01- 15","85,700","85,700","85,700","85,700","","0.00%"
"2023- 01- 13","85,700","86,800","87,500","85,400","2.03M","-1.27%"
"2023- 01- 12","86,800","88,100","88,100","85,800","3.02M","-0.57%"
"2023- 01- 11","87,300","87,800","88,400","86,500","3.08M","0.92%"
